 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;;Pole powierzchni obszaru pom. [mm2];Powierzchnia porów;Porowatość [%];Średnia powierzchnia wady [mm2];odch. Stand. Średniej pow. Wady [mm2];Największa wada [mm2];Maks. Średnica fereta [mm];Średnia śr. Fereta [mm];Odch. Stand. Średniej średnicy Fereta [mm];Średnie podobieństwo do okręgu
215;0.0001684;0.953;0.019;sty.26;3.872;119.745;0.014;sty.41;0.709;0.879;;;;;;;;;;;
216;0.00007548;0.922;0.014;1.366;3.913;30.964;0.009;1.674;0.597;0.812;;;;;;;;;;;
217;0.0001452;0.793;0.021;10.125;3.964;69.444;0.01;2.204;0.454;0.893;;;;;;;;;;;
218;0.00001161;0.785;0.007;1.593;4.014;135;0.003;2.646;0.378;0.667;;;;;;;;;;;
219;0.00003484;1;0.009;4.311;4.135;146.31;0.005;01.maj;0.667;1;;;;;;;;;;;
220;0.004;0.767;0.085;06.lip;kwi.27;19.983;0.062;1.268;0.789;0.919;;;;;;;;;;;
221;0.00001161;1;0.005;8.002;4.345;116.565;0.002;2;0.5;1;;;;;;;;;;;
222;0.0007955;0.795;0.043;8.561;4.393;128.157;0.028;1.611;0.621;0.881;;;;;;;;;;;
223;0.00001161;0.785;0.007;10.552;4.402;45;0.003;2.646;0.378;0.667;;;;;;;;;;;
224;0.001;0.697;0.063;3.593;4.443;27.553;0.029;2.229;0.449;0.9;;;;;;;;;;;
225;0.00005226;1;0.011;sty.19;4.535;26.565;0.007;sty.34;0.746;0.857;;;;;;;;;;;
226;0.0002961;0.602;0.026;cze.68;4.576;33.69;0.02;1.321;0.757;0.75;;;;;;;;;;;
227;0.00003484;1;0.009;6.229;4.622;146.31;0.005;01.maj;0.667;1;;;;;;;;;;;
228;0.003;0.607;0.091;1.113;4.713;21.801;0.053;1.838;0.544;0.852;;;;;;;;;;;
229;0.0001626;0.667;0.025;2.202;4.672;29.055;0.011;2.816;0.355;0.778;;;;;;;;;;;
230;0.00001742;1;0.007;paź.32;4.667;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
231;0.0006503;0.878;0.033;9.966;4.677;149.744;0.029;1.051;0.951;0.914;;;;;;;;;;;
232;0.0003832;0.779;0.031;1.434;4.699;147.529;0.019;1.847;0.541;0.841;;;;;;;;;;;
233;0.0003077;0.916;0.027;5.328;4.725;26.565;0.017;sty.61;0.621;0.891;;;;;;;;;;;
